scenario,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
scenario_4874,43697.98579117133,38618.60117127772,33395.95267779183,39726.86081408395,41424.71207178573,44887.638350983994,43486.357527476444,40113.68173831917,57021.85063441606,52949.53487323151,54780.66111632029,55624.2200506224,61216.598515621656,57581.255476071885,58678.4546127951,68547.10353319737,45701.05068173947,65044.823139275824,59703.198942698895,53363.60361628684,61028.77606925656,36568.08055899541,47568.1731710676,35897.28270539231
scenario_6244,45109.73008188894,35999.60043146789,45555.249240948426,42269.49138609809,36140.728857738286,45283.13709182481,46777.06421913067,39693.50480757279,52675.78978332585,46230.648512841864,45795.08793489775,59484.56262212968,63873.0858925238,59147.50634173216,60254.09490863544,69648.09638314639,64660.01186839137,50750.50169669642,53502.63631076138,46334.83202311092,56939.531876484834,51990.86624460584,55094.14024594428,45397.825955354165
scenario_5452,41412.87795036987,41566.8216442506,41019.27076372439,36047.12843949649,43651.28632751285,40973.30319441036,47079.07949808379,47376.13755243706,40734.88155568083,53572.75237795071,42206.49445294843,58274.07169674333,58868.84246900073,66738.0558951651,62259.389572560394,62252.5487561848,54661.34044530567,72518.92409820862,68242.75932129052,55718.36442629758,52431.36849984249,44885.47154726433,47353.657022410865,48363.78568010464
scenario_1494,34102.432338351195,41830.048463744395,38638.10966069452,43090.96768484218,37232.40328712821,43544.83712426495,49772.93265032049,45797.18863174479,50286.94636828138,52556.53812685738,60949.370564100376,62171.466058753605,47619.00774327574,72385.11533382995,72880.70199585526,66905.26496338392,51457.57921183103,61307.21047306276,56025.523209135645,61581.176330319286,55650.64342742519,41566.13300545485,45696.58498936197,39371.92481857798
scenario_0664,47448.76103054146,34650.5463960422,38186.001760011495,42982.05783965413,41351.61785890971,51042.45589765976,45484.1534822313,47833.37543716762,46783.963828134496,50898.854375091585,41166.88805979579,62131.09919455326,58945.74516196168,48533.00644424486,56270.78435524625,61675.94680105987,53802.70748061695,57358.54136813814,55768.8825818816,67747.37023714496,55843.51722842134,47449.12527315635,49913.02778318993,45124.3199755213
scenario_3609,42163.26864274578,43514.85887433698,34845.70571449869,45062.23670921108,39631.768560289725,36998.03190052668,44680.71845387247,45834.54379911798,52876.17250317526,45236.50730451672,59510.084844607234,64459.46971616241,61833.363961775,67717.26004010707,63964.179571960965,56701.0830746461,68767.35271743625,61902.034176580026,64657.59829998809,51394.92897986377,55161.564607378714,50253.13251950624,50816.896453506706,55149.94199047254
scenario_5781,38304.61066973346,43637.04444633599,35267.63862352865,38857.1665089208,43532.01135674064,43733.23561844334,44589.25950340128,49493.49412987655,50765.71130803792,42990.965471476455,54956.246496287225,58841.43719617923,60930.872194804935,61255.91649309327,63689.7815678995,72006.04975299629,67593.73969868045,55708.125854389946,63729.07526370183,45236.08223103838,57940.479312470256,49470.44695022067,41818.838096816624,43423.53412550652
scenario_7420,46286.704100752344,41983.21496164359,40217.09288054,44174.302354398176,43352.67119396702,36922.488419671696,36689.84470379872,45595.84289855323,45400.00210437821,51772.64338868856,58128.23906444029,59614.94636889977,56295.673010348306,64821.11700882664,64104.52964930333,58372.41546864764,56982.09220315472,68272.33002370052,54835.0583599835,51247.036963971026,64535.80385645181,55208.47558799787,45759.81925980667,48831.91880555234
scenario_7031,42539.30643437494,41369.924812866986,39296.77582777249,42940.32753225927,41623.34931889859,50408.00506679762,42123.73813623608,47479.25936810199,57607.17479329286,55245.94413679946,47004.3998699178,56333.90342717687,64773.90881694422,60491.64371968444,50431.243043630864,63057.894209286984,66832.42430326699,69532.8253143966,54742.187517582955,54172.04217088754,61239.46737507449,57258.790231449704,50248.17228661661,42935.55260666266
scenario_0092,36064.82182217799,37939.6581631524,31621.28918912069,36649.61542052129,44204.91268765401,46997.130616669776,43441.44027802964,42536.64146244592,48975.18225359662,45342.08467342551,56200.40099633258,47459.65731154212,65239.83894119325,66512.44446018309,66737.7534990424,50252.70047898754,59049.53844540649,60329.83979183139,64551.42645813917,65431.20282463779,63063.67042404269,51478.949294494,53495.42199610364,48370.81370638703
scenario_6407,41571.69551947821,31808.60389189111,40459.05028719089,40039.09460148606,46893.75873159152,48278.14109263159,48648.53290690262,43032.40734023124,43269.95562923667,43371.054373987376,54860.145493431206,54519.76054818372,53236.38908344127,57359.47471005615,62416.309639171246,62258.517800736,54220.50429426118,68816.85997683488,58191.06276711284,51226.51277186041,54655.89986388612,44360.58624717967,52693.71687994981,38636.16941750013
scenario_7261,40402.93563822472,32126.47593798884,37723.01993750513,42092.39559990032,47240.919712289135,38479.02957176711,47032.49395470737,39761.85398078237,47063.04234803783,51286.88134514885,56673.123990505286,63577.681912200205,60233.08130490331,66340.68147007973,54407.78649439093,72768.84771612189,58465.22906173595,60063.669686477595,55422.8882479662,54021.867082310186,58528.570209303696,47615.679712664154,52545.85422387281,50644.06718183761
scenario_6686,34642.4851504955,41790.865637519746,41643.392972223606,41412.50044889739,34816.664084682496,41012.52014162729,40880.64853198857,44475.18578974461,46776.1147794232,38395.96252425647,63161.877771114814,50348.69927378441,65947.03851467653,62631.63261369794,60929.21945428146,58921.85345991059,60938.26881092154,71596.8112876037,62466.57086804754,49987.3514654048,58927.45767095112,56854.08738984713,53146.71275017226,41678.74769566774
scenario_5460,36604.98919261039,48042.83766800825,38651.494597629906,44205.11302084417,39147.35253276856,41726.485795840745,41337.47124170398,48756.981284743815,47944.26242797124,42926.27535622456,58418.396313524165,64495.88557278774,60975.992584722546,72454.85663265025,62521.5120378844,63316.89337281459,57036.33775733201,61426.24039958419,55156.21107797139,49850.878312813715,60944.10460163963,49418.33969163042,40446.6888503015,45177.23467423607
scenario_5416,47450.702097919195,43070.27431958139,32516.69390495337,43313.68937136872,43626.118003399926,37877.73516212656,45437.91663743898,46081.60446878401,45984.10082083941,61133.08689529353,53314.09431217274,60307.936254559456,54624.11387221968,61340.6528529419,65080.026631133085,65406.23621041876,61081.71421779663,45097.020082767755,54066.69275434578,65388.33786113751,57989.75467851287,48893.514008084894,52206.676789500016,49944.98826580401
scenario_1038,47527.01064496768,42067.84377384069,43702.22044871367,43398.901079992575,42500.24407704899,46520.35424600103,49211.78641426881,48461.789665168115,53088.52258553664,58011.661481998526,62228.50343796211,63164.51954874621,50094.39064649152,53202.673719293154,65976.73352774183,63184.2418187817,61704.188065303344,53203.58007905486,61787.30533979573,53406.103630307734,61112.11537417967,56208.08339737814,47209.192718424325,47171.13009829185
scenario_4435,44694.35181071225,34528.05395718443,46566.271511039726,38735.30600254059,39352.672496061685,48760.30907890929,46556.17000665955,46361.52165744205,56616.49884823803,45589.432770647305,57613.6012453835,56955.516296371534,53526.7576755235,62274.91992655814,62963.5557409326,63550.78596616384,58445.08904686177,45725.62164702435,61336.906247147854,52314.746957627984,56218.52830817071,57222.44219213662,47277.12582740426,44206.47619340371
scenario_6920,44839.833118733186,37499.77955258351,33002.03440462744,40880.936567624674,34056.000651235234,42829.674226166906,40180.0139839958,47487.42921826748,49124.32399473128,53698.35686524569,61065.58627452779,60014.867207389034,57601.986782245134,50121.80142022809,67932.27428870232,57449.98842856198,65472.059865726085,66309.46462498467,47528.684431121845,57620.60595730667,51803.9959791915,49852.87815564083,38546.34774539407,49353.5730115407
scenario_0368,42054.54520235638,41310.264235486495,41764.90508703809,41573.55446010307,46393.44535185823,46442.80712501598,47234.52009607402,47769.0887854206,52592.34716274816,53672.55327255151,53497.810703622185,49164.125390983085,61899.146506363286,62235.72372084274,66478.1752241478,55728.12175720939,71752.61669984252,64924.397122557326,74065.2661339843,60242.93567232544,54847.43276052311,52898.93415524025,50872.116331025136,39126.6997857309
scenario_4732,32899.93964891209,36960.97599351403,44064.99338408652,37360.65929431738,45133.85455030879,48800.75695035928,34982.212851494995,42912.03150632068,52675.60837716931,46214.87266607526,52617.29245512536,50158.6138333499,63261.80479759555,58474.383421836654,63988.4894609262,62135.454583991705,55629.52305933094,55851.770302938035,61971.90318958082,51945.1491435725,60361.42737316385,46212.371462349685,44703.09819010465,45888.02073776947
scenario_1241,41446.78999236848,43121.59594304893,42744.17584310299,45910.446453598495,45929.57385545429,46363.694522263344,41512.48909198261,50143.061381896,44812.50671875916,54339.03448714295,57717.8923721724,50571.10634223431,48706.83227269526,56905.942085990726,54158.09478770078,62298.4429441557,59218.8747396483,50232.134435985645,58575.89091511877,51312.43106668465,57385.65990825903,49763.07785539102,44097.73964009888,32823.477519172215
scenario_3976,35114.23994971581,38978.952760012806,32073.01460939417,41738.553320125015,37823.970713822826,37473.85563121321,46204.04476944015,48564.75431150197,47589.356131164845,56101.11590376057,54393.32338272436,62642.9958641641,64632.73517614285,55033.36408196119,64520.972385306944,59607.30443693664,57257.21800864007,58137.30525469036,57933.92813734696,67044.9932893337,54537.171560792594,50988.20620652395,44092.7339521023,47910.88753273138
scenario_3313,42314.93760917147,41231.629991652335,35268.777765564824,45432.827296104486,43269.64667153912,46602.22025682703,44055.064225488066,48916.74427556698,43300.71862552789,54001.52127410963,61884.833483897375,62869.35567113173,67203.66618349645,63320.987309814824,67717.81769057718,61390.049717466216,60986.01714071924,61956.04818205698,65295.368378644904,52396.59058690614,61930.16764948115,56228.02230197332,51327.09354061779,45501.04516502954
scenario_6921,39361.176946970394,46582.533954150655,37077.321854626214,37635.38345664851,42161.46553864509,46430.2743560751,41035.55702275181,40186.88569260693,40012.76748014107,55570.706961965065,57266.1077610956,58140.94221646938,68330.6183288033,63624.83176586486,56579.7249125631,60759.13442682386,51725.106592542965,49570.17569976147,68672.76182480145,60564.315715379584,48667.684839702706,40308.93858233607,46607.78810251463,35848.388829803436
scenario_4879,33615.41226911057,39454.84717948866,48761.2530695576,41317.67841674925,40862.6657982458,41622.68592070377,49055.57657904415,44432.17803259445,45613.6846229666,52430.97163592741,55131.89430420129,60456.49570302961,66915.37721579954,62352.95605701268,55994.906120502565,71491.57747349827,61976.883458218836,58980.1914040305,64865.07465934243,62819.483720444136,63025.95487145517,53143.550416843565,51838.654706852234,37682.86966223717
scenario_2412,41927.458581325176,41009.47625195944,40862.918469276905,44010.71616544901,40304.03743264722,45382.51255754182,48152.64747385535,47532.0344996279,47303.25473386331,56348.331693823195,59036.747876370406,60695.34649230591,54874.31452396064,61551.03814808917,61724.61482689404,64693.78137993578,73607.27522434382,64485.09062403141,44427.12287235269,52750.97814337163,60002.640300069965,48906.63513531964,50195.69402448596,35426.76214615738
scenario_5074,29102.454838105354,42483.59206764327,35671.342212190684,36960.082152522955,37001.61480657763,43359.04054765942,45687.578199896765,39340.928846644754,48896.2484955113,45377.25972091851,53275.65252145901,64632.270224089545,61005.2468623487,65585.6808530851,67148.88469866847,58136.50995917448,65126.868101089734,61984.33637230569,48496.35291910826,60517.062684381504,57494.783995832615,51846.91276020147,44647.26529485817,41625.28783096651
scenario_2734,35286.35540321604,37165.9411549552,39871.50522092851,42963.44189557093,38151.9757685918,42874.11822207042,45773.04341799449,50444.69376596315,46309.013578175625,51545.675771618306,58181.80435750667,50748.00243150562,63847.35284090866,59579.325902897566,65752.8096203011,70318.96059951796,59348.27332102411,53049.84553891796,59942.52482682897,53446.83193211583,54376.045587462206,41130.66336696559,51164.37959307072,44911.8967930317
scenario_3790,40759.95643757097,33500.87667632728,31485.031620863992,42483.75318394361,38235.00892368378,41439.006921386506,39772.2615996776,48615.347057009254,44051.33519091536,55315.91170820194,59322.78659378259,61704.40569889647,59387.29219554555,62356.539737472645,53314.889947845615,67944.86647113145,71398.25391412491,59483.03308407223,64181.61239583426,67152.4369012971,55381.58933928011,47872.291812798365,51850.5902801209,43331.50823983678
scenario_6187,44912.4721217349,42198.31198980294,38600.32793131704,36604.660582329874,38195.62787351526,41436.37544659064,45715.573510645394,43467.66343970392,44717.37689093742,44213.77532376845,54706.5790741898,57762.16164351624,65516.03214640596,57812.55632535646,68285.57484739777,63804.73998593408,51104.917020491106,74652.20934438126,57082.601368361095,52617.62301257356,53073.658863201454,54001.86777579408,57945.80997866258,44964.57865809932
scenario_2380,44308.377280252535,42287.607440364896,36895.148219935945,33384.120426521346,37363.0654470798,47748.058116802385,47606.45680425718,44475.93332790796,49439.01301068654,49419.95355324288,54418.87783093379,60752.092805468215,66980.44298974818,56608.84356711738,57322.957870848775,56059.4222064733,59786.8355269186,68605.83084601078,64725.800443212946,57320.59023996094,55824.203508932405,60824.762880481416,48291.77775304723,45588.37936515851
scenario_1570,31873.22323293168,41600.25543052319,39290.46202628203,43199.144585475864,34879.49800513209,42600.399868035616,43504.00505303607,43001.04875027251,46942.248501672395,49578.47396860485,61334.42186006414,53164.687962721946,62669.85605619193,61541.870345523734,65078.67006735292,59448.442680422086,56947.403816457656,59270.05536123085,62799.78634042157,57824.566205377945,59501.101252544024,62016.36183867953,49524.34990558757,51026.292331546545
scenario_2550,46760.20183888485,25716.633829195664,41418.061647317314,38537.64384851824,40009.626941093535,48285.965059610826,40033.73182091316,48026.25487394366,46295.74568887926,56448.29302378776,58286.89185491448,57221.63154499662,65413.3600296082,61411.35647929976,63842.39687066126,61200.80418224293,69295.77080112541,70475.22559928839,42091.95544643228,45752.93900492577,59897.847560631264,47652.0827042473,45923.119389620726,48573.623639907506
scenario_1849,42630.50107922022,42789.28938715255,42226.24260862803,46852.280206692274,35792.99363068246,41027.43109203306,39788.96232899682,36279.71860488488,53255.8075576794,45162.14907208034,57017.96572179968,58331.33632108789,71634.2463746272,70287.76628831484,56985.24550312583,57465.23298156725,72377.59570087037,60587.429537866614,62789.4705529191,61483.87291597251,62493.410108406184,50206.60423168684,47454.076469231106,51841.25015189714
scenario_4672,45462.16575639088,37346.64048269074,41302.636356980314,36661.8380401753,37543.44599072952,43544.845974445656,48137.9874656963,46556.71341402809,46578.4917568186,55009.3419031658,60928.91308872843,57239.05988814856,48135.292644895075,62092.34049639636,64947.44145036501,58788.298872832216,50186.198521056365,65434.87391684376,57459.13158264081,59173.154456199874,51975.2455790295,57779.011082012374,50199.07482631879,47869.35932820688
scenario_1622,41616.66852707676,48270.86796972238,40446.44478286999,39121.47521785956,42529.67714622073,53141.28054801808,41367.28274899227,49812.77735233901,47653.26696007592,57598.00308112928,48160.64959354578,58330.428217173074,56914.81480426145,64944.541903980265,64608.217624655335,67924.92554373694,72036.36157445192,63186.56372810108,69645.77403539937,43775.803160901894,51623.88602158318,52997.47600267176,52738.31614812061,43910.12070398064
scenario_5909,34625.20101841344,39432.75853353128,40334.25990906605,31822.756900696448,39328.229045381944,42061.10126289376,49719.028020714715,43599.688015575935,45307.697092098264,58523.95750972309,56468.064855412784,62686.93778819276,59088.679060827715,56627.80770964275,57350.96314764896,62308.32306745254,60732.26144885946,53874.79790232178,58072.81616690227,64594.16771192182,63744.11692003017,55706.08128477772,47519.87124398009,50351.83161314591
scenario_0064,43312.97370306245,42228.74109938015,45477.79883009748,38566.854071035865,43483.389099930435,44406.58331201932,44634.18069987261,46070.12728595886,49919.05954490725,55574.81028958984,55177.03244373682,55989.522110595375,60054.16696985917,67427.71433113512,73049.71062702869,66656.60311151776,59102.99908729799,57893.34721555248,63350.026608739725,56182.818801961424,50910.292633518744,53740.34985792341,53812.36734094145,43322.292570112215
scenario_3047,44690.25344763304,36992.42249328354,40732.97884814987,39956.20723942214,40869.61281985496,42707.306906483,42971.796651113735,46884.16614533394,43944.51110996114,49835.76750504218,60831.27571100537,60100.70429813797,59305.29293931184,59322.017838015156,65105.26640327013,58891.08183457308,59573.97109822923,57256.851487352615,57761.012665351445,33949.77653407841,55864.081589103,53101.29171205144,50153.5997783682,43047.287533176226
scenario_6191,45437.28308233507,35484.022511473726,35734.296313099185,43033.24258452992,36106.29533448139,45654.56802468466,42948.7940426249,49799.19241756943,49235.18776922685,53205.180292087585,53367.99761522496,57915.61136797342,54199.74924943505,49232.97608697604,60604.367702518706,64654.165708031505,53775.03683940008,62869.41025756767,63342.32056805756,58638.90602082139,51324.90581795326,46969.280249370735,55061.296442414256,49406.98753336666
scenario_5013,42520.04234772463,45974.16977345407,37048.567766781816,41900.675264902435,40692.86379942261,46685.551613184165,45657.63763742622,50976.40184765346,50085.286217686145,54697.66623423755,61664.99140529464,55945.76153824713,65373.14830176288,66489.60417599423,67482.28857196095,58643.00275701059,56890.785139379506,66589.98838962818,56506.064638195894,50992.20336776335,58827.87857986977,45008.64978487959,49536.52226866951,42122.09449832681
scenario_1605,43269.01553065776,45411.18230857518,42683.957420367,38691.37285544287,41033.84009325871,50262.43361267768,37613.64210758528,42369.74080016463,52166.71778002194,53789.259643592944,57555.29803124549,56821.1156487596,47793.3477591976,61906.48956592111,68923.66777499154,63625.942939209825,41574.20714234776,63867.56909892708,66838.13991256214,62477.59512808613,58388.64227284285,48264.96543999788,47039.28158461484,47789.441910509064
scenario_6127,41410.874555378934,34021.92580841469,38606.727100681754,40519.55897355132,38725.59184643438,41547.91564019935,48082.554624699595,45257.391140804066,54094.24040957422,49710.36638281743,53770.36107981285,58301.53861772714,57113.275548142185,63021.96006007844,58879.147716603315,64338.64115500307,71199.38368605674,59262.14175592291,71034.36692821023,61134.98795476306,46843.96950768526,50505.50736982457,47352.73673183232,44940.96650054002
scenario_0179,41551.03683819452,39703.41975291203,41295.60279074549,44186.206111187,37782.77638708243,44730.4474648419,49616.04026738317,43701.835160169874,48341.1243072149,43887.16671030793,60487.35174886898,62566.02563377048,60995.777732511626,71759.12090200446,57879.50693408136,56468.57067335544,56292.909535767045,50418.8822408835,58031.897284786624,47521.46971666847,57321.46378335717,57277.347812442546,48148.76843453949,43162.86345517001
scenario_1370,33603.732038154376,32670.182309016287,40986.49803961049,39238.15735750663,41683.12582336867,48541.63768261404,43819.87689343368,41500.853819448515,46270.39028461032,54689.45398751371,52604.9339076919,54721.113353535125,66503.21627007087,45548.64671910193,64053.65736584287,68910.69543312151,58879.6869809855,49238.626171164455,60802.25810445529,54001.40741210651,57855.203622705936,53189.38186136136,43818.857290234344,53616.6505406605
scenario_5752,46243.06833063789,37416.479797124615,42507.2730062523,47125.91417857309,41007.27082882203,37066.80094081997,44264.47439750955,38283.04209326785,48251.39706416963,57009.01416811255,57768.41006196896,64285.94670679059,63871.85877546345,65999.18878061132,55499.24148118419,65761.05125139412,46901.47889962896,65965.43074952139,56199.84315898384,65428.99347047901,61198.7042505565,53744.63591168099,46880.99597236495,43918.94003677776
scenario_1151,46521.02545636168,32047.70789976626,39743.52283131954,41803.70530212038,41092.924734092136,39724.25623839485,50939.522431542515,41363.57557790592,45426.69875839781,57875.45339421694,55473.03632204361,63496.37955214357,66137.24379654608,56252.81690988684,69655.29341290447,60489.32543860091,55297.290791059655,59996.99918508305,57836.8958518771,52073.05091180345,48308.47754342579,54426.208214424754,46094.69342876704,40453.41114330103
scenario_0215,39117.87855577304,33571.440867673424,39879.867149415535,34054.31017499489,43933.560540825354,42219.96217049916,51582.624703599824,41325.27627954223,46520.45061750227,60167.82999105086,49271.98648061515,61615.46666579217,52635.81690110624,65413.640524214126,57608.114337044855,68345.78094600918,64716.99515817788,60651.87918583201,54669.34067351546,56563.15547438723,60727.65733575929,48656.14992080476,50886.27906141981,53002.62130332181
scenario_7170,35077.745124930014,41199.91948606862,34537.442844208235,42457.503795111006,38716.58535214342,38326.28112662934,46873.1420900666,47421.07372177823,43230.94715746525,52189.0880191206,59587.895803548825,59139.28978207696,61583.518091333535,74226.78237566893,67374.38465966293,66618.27627771217,59700.16653408522,62725.280158997215,57596.425706819595,52717.77876417593,65961.56547922864,52356.23345431023,45499.3307166162,44138.54498236761
scenario_3327,47171.10221035431,37548.48837611976,34151.057398948775,33550.90162082386,46786.52591861931,49418.027537362635,42384.23519802206,48131.48907889628,47724.65673212099,56215.61726116559,56014.62002096911,64471.11563135685,59707.90671805008,59037.536108122746,53657.31315897871,69180.29261376844,64888.78514619502,68026.93208966035,55330.241758860655,56732.92326020134,45921.58111554465,55784.32309761979,44021.9683927993,53695.56630387694
scenario_2896,41541.89565689038,30913.417465450595,32707.256531300747,32287.758376864327,43376.31763855105,41375.71937220779,45348.640082142774,55310.51105510435,49573.324693081275,42529.735749468906,48468.842881196186,62102.796395504374,60036.61230674488,48671.25238185614,63201.96272728732,75889.76879911727,55374.078902814865,56599.69103491757,50281.15980390387,41520.68912524261,56147.430140329176,50053.02832104383,51647.39512875458,46843.675237430536
scenario_6246,39466.918942871525,39957.372411095435,35488.75183992589,44028.535297355826,40423.141651320046,46518.485766717415,43052.62731124811,50145.154513631,44338.45957205752,45819.43115266664,60983.483309333074,63346.87198792798,60705.566560838895,59823.75738395099,57808.45467671677,48155.59089935937,64714.283534180155,65770.23916618673,62616.086966847935,54053.840982029695,60616.026170578094,56922.971986673474,49982.990259295206,52076.02632850598
scenario_5381,42431.93512329486,44208.29349938801,44477.74480525314,46175.30961808885,40763.62105810011,45324.81062099551,39482.01112009382,51980.00666815613,50336.45896280928,48943.44818310177,50098.01719577674,62454.175667466814,52656.02462098988,58538.78438269829,52636.36751166938,68552.7350710562,44175.17749007412,67056.94709551071,56461.752879701045,61647.78745536046,63838.00389143542,48637.35174490929,41297.925577801914,40068.94253946142
scenario_6755,37494.59240152609,38540.62115697442,32256.07891743187,40692.452812596326,33834.37858176526,30896.810208376548,44470.96788791833,48243.61532022776,53814.71578639716,51539.20222932589,50683.67980998981,59111.48982902198,56519.91002400631,63249.30299216922,42554.071689569915,60132.64576805859,70349.66164602875,63927.598053059,56579.4653154677,56888.96391411827,46681.50004074417,30222.72674739945,56687.13508986239,53913.92545412195
scenario_1291,36637.94134051219,35074.92439054651,42571.53218027734,35115.769507377496,45382.439177022825,43878.0102905019,43705.414161852765,54284.36844905585,49035.26972411024,51985.239462224534,51764.398382632535,55322.939406218175,58277.71744030031,68052.03089344756,62091.62485141077,66900.78157882315,64686.694068050194,53435.49046280915,59364.0099786681,54108.60839379888,54421.486338957104,55865.34069160882,44885.686702854706,42459.567540355354
scenario_0833,43099.09250140009,39456.279375200626,42840.61110662002,38500.13054909118,35281.44223657263,46047.71513894234,41939.960495554136,46638.05884393503,44974.42666096006,54550.8832735705,57711.52642744912,57286.09283015838,56569.139509093104,50236.336697303406,61063.23285308012,55013.628289800195,58509.71578574247,67043.72415630569,58162.30695583756,54102.52634628003,53618.27178740875,53204.52560249148,52522.81581124905,46800.02976154693
scenario_5382,46718.28617262748,44091.60476258011,43565.454439005334,40128.73584971367,40591.77748083751,40763.61421509997,46828.727688700026,47813.56315843978,48327.962993878056,49244.61253881639,51640.30996086693,61431.385571943305,62865.64669769248,52896.4939973828,60354.27394229947,56237.98038797473,60166.31181007787,63683.375409332584,64557.952040480515,53141.86238235061,57307.11848366521,51314.51651169296,42619.886848366594,42881.847886154195
