unit,bus,fuel_type,p_min_mw,p_max_mw,variable_cost,startup_cost,shutdown_cost,no_load_cost,ramp_up_mw,ramp_down_mw,min_up_hours,min_down_hours,initial_status
G105,74,Natural Gas,74.7,249.0,33.04,47.0,0.0,49.0,1113.0,1113.0,2,2,0
G107,120,Natural Gas,45.0,150.0,54.18,52.0,0.0,191.0,831.0,831.0,2,2,0
G108,94,Natural Gas,50.85,169.5,44.93,62.0,0.0,155.0,1872.0,1872.0,2,2,0
G112,82,Natural Gas,75.0,250.0,50.22,56.0,0.0,329.0,955.2,955.2,2,2,0
G114,30,Natural Gas,49.68,165.6,45.6,78.0,0.0,317.0,453.0,453.0,2,2,0
G118,93,Natural Gas,67.5,225.0,23.92,71.0,0.0,306.0,1456.8000000000002,1456.8000000000002,2,2,0
G121,53,Natural Gas,329.22,1097.4,37.04,8.0,0.0,1850.0,7157.400000000001,7157.400000000001,2,2,0
G122,81,Natural Gas,72.99,243.3,30.31,21.0,0.0,343.0,4069.7999999999997,4069.7999999999997,2,2,0
G124,98,Natural Gas,13.2,44.0,48.94,6.0,0.0,107.0,491.99999999999994,491.99999999999994,2,2,0
G129,48,Natural Gas,37.95,126.5,37.94,51.0,0.0,357.0,2148.6000000000004,2148.6000000000004,2,2,0
G130,48,Natural Gas,62.7,209.0,24.66,14.0,0.0,501.0,3624.6,3624.6,2,2,0
G137,85,Natural Gas,60.0,200.0,53.6,24.0,0.0,80.0,2377.2,2377.2,2,2,0
G138,85,Natural Gas,60.48,201.6,35.29,36.0,0.0,194.0,3589.7999999999997,3589.7999999999997,2,2,0
G144,62,Natural Gas,15.63,52.1,52.2,75.0,0.0,590.0,229.8,229.8,2,2,0
G147,75,Natural Gas,54.51,181.7,51.42,22.0,0.0,531.0,630.6,630.6,2,2,0
G148,83,Natural Gas,4.17,13.9,47.68,7.0,0.0,418.0,38.4,38.4,2,2,0
G149,52,Natural Gas,3.0,10.0,56.96,25.0,0.0,38.0,11.4,11.4,2,2,0
G150,52,Natural Gas,3.0,10.0,46.77,51.0,0.0,77.0,106.8,106.8,2,2,0
G151,52,Natural Gas,12.21,40.7,32.0,7.0,0.0,353.0,556.8,556.8,2,2,0
G155,79,Natural Gas,9.0,30.0,55.02,50.0,0.0,507.0,206.4,206.4,2,2,0
G156,43,Natural Gas,198.45,661.5,43.19,70.0,0.0,2325.0,3802.2,3802.2,2,2,0
G165,82,Coal,352.62,1175.4,18.54,356.0,0.0,2367.0,3993.6000000000004,3993.6000000000004,4,4,1
G166,27,Natural Gas,278.25,927.5,31.66,21.0,0.0,2558.0,12469.199999999999,12469.199999999999,2,2,0
G171,76,Natural Gas,107.28,357.6,43.4,24.0,0.0,406.0,3237.0,3237.0,2,2,0
G174,13,Natural Gas,125.4,418.0,31.35,77.0,0.0,1556.0,6800.400000000001,6800.400000000001,2,2,0
G175,82,Coal,255.66,852.2,19.84,237.0,0.0,2029.0,2521.8,2521.8,4,4,1
G176,82,Natural Gas,555.24,1850.8,32.69,73.0,0.0,2164.0,15269.400000000001,15269.400000000001,2,2,0
G177,98,Coal,332.49,1108.3,18.86,145.0,0.0,2935.0,934.8,934.8,4,4,1
G178,81,Natural Gas,240.96,803.2,43.85,79.0,0.0,799.0,13779.0,13779.0,2,2,0
G179,1,Natural Gas,32.97,109.9,38.63,62.0,0.0,101.0,387.0,387.0,2,2,0
G180,54,Natural Gas,281.88,939.6,49.0,33.0,0.0,3039.0,12882.0,12882.0,2,2,0
G181,98,Coal,594.0,1980.0,19.64,278.0,0.0,1473.0,9390.0,9390.0,4,4,1
G182,78,Natural Gas,713.88,2379.6,32.54,24.0,0.0,1261.0,16966.8,16966.8,2,2,0
G183,1,Natural Gas,214.02,713.4,55.24,44.0,0.0,2955.0,6364.2,6364.2,2,2,0
G184,98,Natural Gas,171.0,570.0,37.99,76.0,0.0,2028.0,3172.2,3172.2,2,2,0
G185,117,Coal,356.04,1186.8,18.83,114.0,0.0,2454.0,5683.2,5683.2,4,4,1
G186,102,Natural Gas,310.8,1036.0,34.65,30.0,0.0,2012.0,8480.4,8480.4,2,2,0
G187,55,Coal,394.44,1314.8,19.15,272.0,0.0,2229.0,5442.599999999999,5442.599999999999,4,4,1
G189,27,Natural Gas,223.8,746.0,40.21,71.0,0.0,3562.0,2920.2000000000003,2920.2000000000003,2,2,0
G193,58,Natural Gas,520.2,1734.0,55.64,49.0,0.0,1040.0,27458.399999999998,27458.399999999998,2,2,0
G195,40,Natural Gas,384.0,1280.0,49.18,11.0,0.0,2874.0,14328.6,14328.6,2,2,0
G197,87,Natural Gas,128.31,427.7,33.18,76.0,0.0,1402.0,574.2,574.2,2,2,0
G201,42,Natural Gas,181.08,603.6,53.74,53.0,0.0,1182.0,9565.800000000001,9565.800000000001,2,2,0
G202,115,Natural Gas,236.52,788.4,56.45,19.0,0.0,1054.0,3690.0,3690.0,2,2,0
G203,99,Natural Gas,240.96,803.2,29.19,59.0,0.0,3625.0,7170.6,7170.6,2,2,0
G207,89,Natural Gas,190.41,634.7,26.44,28.0,0.0,975.0,5788.8,5788.8,2,2,0
G208,86,Natural Gas,46.17,153.9,29.66,43.0,0.0,420.0,2700.6,2700.6,2,2,0
G209,89,Natural Gas,177.18,590.6,25.32,28.0,0.0,673.0,6644.4,6644.4,2,2,0
G211,106,Natural Gas,160.92,536.4,49.27,40.0,0.0,1821.0,1964.4,1964.4,2,2,0
G212,92,Natural Gas,69.0,230.0,29.13,28.0,0.0,61.0,1474.2,1474.2,2,2,0
G213,90,Natural Gas,10.5,35.0,49.72,7.0,0.0,66.0,83.39999999999999,83.39999999999999,2,2,0
G215,90,Natural Gas,277.14,923.8,39.21,50.0,0.0,1258.0,3078.0,3078.0,2,2,0
G216,68,Natural Gas,14.4,48.0,32.84,57.0,0.0,369.0,162.6,162.6,2,2,0
G220,68,Natural Gas,244.5,815.0,41.47,25.0,0.0,1533.0,10652.4,10652.4,2,2,0
G222,90,Natural Gas,263.52,878.4,47.09,65.0,0.0,2327.0,3478.7999999999997,3478.7999999999997,2,2,0
G223,100,Natural Gas,135.96,453.2,42.96,17.0,0.0,2943.0,936.5999999999999,936.5999999999999,2,2,0
G224,100,Natural Gas,75.6,252.0,55.75,57.0,0.0,289.0,2715.6,2715.6,2,2,0
G226,86,Natural Gas,30.81,102.7,54.7,75.0,0.0,156.0,1450.8,1450.8,2,2,0
G227,54,Natural Gas,356.97,1189.9,37.29,49.0,0.0,663.0,819.0,819.0,2,2,0
G228,44,Natural Gas,3.06,10.2,52.66,31.0,0.0,208.0,156.0,156.0,2,2,0
G229,44,Natural Gas,275.49,918.3,38.55,7.0,0.0,2112.0,3368.4,3368.4,2,2,0
G230,91,Natural Gas,507.0,1690.0,41.73,66.0,0.0,1637.0,27196.199999999997,27196.199999999997,2,2,0
G231,91,Natural Gas,30.57,101.9,27.82,48.0,0.0,600.0,466.8,466.8,2,2,0
G232,91,Coal,281.91,939.7,18.48,368.0,0.0,2470.0,2098.7999999999997,2098.7999999999997,4,4,1
G234,91,Natural Gas,193.08,643.6,32.09,25.0,0.0,2859.0,8725.800000000001,8725.800000000001,2,2,0
G235,65,Natural Gas,1202.52,4008.4,42.32,11.0,0.0,1913.0,61855.8,61855.8,2,2,0
G239,33,Natural Gas,4.5,15.0,35.24,4.0,0.0,419.0,227.4,227.4,2,2,0
G241,15,Coal,352.8,1176.0,19.38,238.0,0.0,2972.0,4406.4,4406.4,4,4,1
G242,52,Natural Gas,538.62,1795.4,44.18,17.0,0.0,3296.0,5078.4,5078.4,2,2,0
G243,88,Natural Gas,113.07,376.9,50.29,59.0,0.0,37.0,6370.8,6370.8,2,2,0
G244,33,Natural Gas,64.56,215.2,44.91,75.0,0.0,8.0,2863.7999999999997,2863.7999999999997,2,2,0
G246,80,Natural Gas,206.82,689.4,53.11,51.0,0.0,1850.0,11926.8,11926.8,2,2,0
G250,80,Coal,123.0,410.0,18.99,153.0,0.0,2184.0,1468.8,1468.8,4,4,1
G253,25,Natural Gas,326.46,1088.2,46.91,18.0,0.0,3636.0,9572.4,9572.4,2,2,0
G256,23,Natural Gas,279.6,932.0,28.48,32.0,0.0,1950.0,6314.4,6314.4,2,2,0
G257,79,Natural Gas,68.88,229.6,44.91,26.0,0.0,485.0,2530.8,2530.8,2,2,0
G259,8,Natural Gas,267.6,892.0,25.92,22.0,0.0,3228.0,3376.8,3376.8,2,2,0
G261,108,Coal,433.2,1444.0,19.04,321.0,0.0,1423.0,6669.599999999999,6669.599999999999,4,4,1
G262,17,Natural Gas,155.1,517.0,55.9,17.0,0.0,804.0,463.2,463.2,2,2,0
G263,29,Natural Gas,79.08,263.6,27.93,10.0,0.0,9.0,2230.2000000000003,2230.2000000000003,2,2,0
G264,29,Natural Gas,13.26,44.2,27.45,27.0,0.0,149.0,598.2,598.2,2,2,0
G268,2,Natural Gas,51.12,170.4,55.15,32.0,0.0,101.0,2652.6,2652.6,2,2,0
G269,2,Coal,240.3,801.0,19.56,173.0,0.0,2476.0,790.2,790.2,4,4,1
G271,12,Natural Gas,324.66,1082.2,40.29,60.0,0.0,2124.0,13406.4,13406.4,2,2,0
G280,26,Natural Gas,167.7,559.0,39.32,8.0,0.0,1485.0,8152.799999999999,8152.799999999999,2,2,0
G283,61,Hydro,0.0,54.9,0.0,0.0,0.0,0.0,1092.0,1092.0,1,1,0
G284,61,Hydro,0.0,54.0,0.0,0.0,0.0,0.0,1350.0,1350.0,1,1,0
G285,29,Hydro,0.0,108.0,0.0,0.0,0.0,0.0,2592.0,2592.0,1,1,0
G286,70,Hydro,0.0,58.0,0.0,0.0,0.0,0.0,1344.0,1344.0,1,1,0
G287,122,Hydro,0.0,80.0,0.0,0.0,0.0,0.0,2112.0,2112.0,1,1,0
G288,29,Hydro,0.0,17.0,0.0,0.0,0.0,0.0,522.0,522.0,1,1,0
G289,61,Hydro,0.0,13.8,0.0,0.0,0.0,0.0,948.0,948.0,1,1,0
G290,61,Hydro,0.0,39.6,0.0,0.0,0.0,0.0,1698.0,1698.0,1,1,0
G291,49,Hydro,0.0,30.5,0.0,0.0,0.0,0.0,1344.0,1344.0,1,1,0
G292,42,Hydro,0.0,42.0,0.0,0.0,0.0,0.0,912.0,912.0,1,1,0
