,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
scenario_6244,12187.660331844978,8414.072672930815,13021.531712371412,7377.954470923269,15127.665932516316,2003.7335274935554,13233.932471681306,20028.119522751615,38391.233076559096,47459.955234760215,49096.46319769471,44834.17888347135,53775.46619243109,50131.9475135786,43006.38123370836,50187.08386294614,40375.11954615851,42557.618270575214,50229.420878205165,44448.49325292076,18422.0980433093,31023.227891522754,29970.10028143546,13356.40150706959
scenario_5452,16776.63641261443,1000.0,9379.448745402595,24608.012087837684,18519.955353794885,23070.92182940847,29354.105984580125,37340.435430603495,39030.87076946864,41129.650062429646,35813.96386291718,52119.743757745135,46478.49568579464,58586.165013292055,51252.3491201546,46476.501011307926,47694.94429109149,52440.44664672706,25705.842719363773,46657.15323213625,43605.751404057184,25611.90399795759,18816.75566613681,19770.67871430861
scenario_1494,13470.264066456752,19525.9083933939,16833.48334867176,9919.823322023702,17087.4725862318,16398.911314082397,23303.21790090799,20610.338978002233,23501.878046176585,43510.667458038195,30826.008133630086,43542.83846076434,49213.30287369144,45585.198931013176,37511.403893687515,45862.60060144585,44068.860223846525,36137.0397907718,50096.52661468653,37701.64363984733,32696.054733654262,35435.519210506434,32097.47504172975,28311.212095972136
scenario_0664,21657.087049365764,13385.496584341861,24992.214104430364,7813.043384516641,13981.369208907636,17752.425748756963,9064.211933205921,26498.618764497965,30035.017864389658,51697.66326168787,47892.024229039554,55753.153425982026,62049.616802447345,63156.43617832774,65425.98346403692,65872.85097685619,67341.314699113,59282.995917572385,52665.95328126994,58761.2631562324,41946.386183787865,38135.68644929012,34864.49287572493,25389.195791712053
scenario_3609,18114.28398567818,24508.503923613323,13190.952603029022,28998.41250300828,33194.61556859981,27287.96857610758,28418.07873816602,32013.214361795108,29902.018857064737,54923.05831483442,52451.59511310741,53919.227767520984,51169.12558717318,60104.19531659853,60751.32056014905,57029.99284282196,65968.03034317053,60441.24068563141,54242.02423888566,64386.79363989415,45646.0423831648,46429.31313648382,38293.823367496516,32837.21370779524
scenario_5781,1000.0,1000.0,1000.0,1000.0,1000.0,4957.369931064404,1000.0,12304.988367727954,11884.027026926033,6835.3837157740345,31788.29356064627,35234.32409008736,43619.06236006466,48120.498910801936,52587.08112043136,51883.01426867701,50227.84160560349,46713.36352440614,42797.31208595812,38537.22292593213,15542.501834523471,26372.447491689185,7532.506986955072,1000.0
scenario_7420,31092.873586184738,33208.86055231697,43782.47807208555,28323.415852400805,41589.8217150695,37882.97200205396,42560.897428479955,47086.674314159114,45667.73350862193,51797.79716725682,55157.700521487495,54805.23915407801,61481.06122356247,57774.83253015214,52816.06904992038,56378.499442191314,67339.09561705732,63642.791967074474,65730.58312700235,53189.95708266278,50229.16973748579,57026.29144213769,52367.17507712988,50515.4995392833
scenario_7031,33625.94813515174,30960.53519625048,30033.274298026718,23607.672092407007,40899.352254913574,43221.570658338285,44759.56932847014,45172.33424980946,48704.9502707963,51226.122859173935,53534.41834951306,55432.57098723759,55865.01811777033,59283.51538712451,64998.97978447584,65748.14758953896,60340.102060684934,69836.25795305708,64563.93187983818,61754.561413388496,53274.95772731802,48528.034518270964,44944.40883298098,31995.782110255335
scenario_0092,13928.299577069738,10344.373149821942,28898.572947774803,1000.0,12700.668554885375,13869.687868651665,7584.7923625177245,28677.543020245994,35144.579635027214,41431.92742214555,32488.22468894444,48007.07996086009,50950.67800000745,36421.505599890144,36596.38693406957,40651.15646779681,36221.958421133895,13705.121353702634,26942.980901942137,27179.408977186326,24095.522587400374,6660.342287157167,11573.422130216059,3377.8554390133722
scenario_6407,8032.13141278219,15679.232536440642,27114.381258470905,17147.3466098857,34494.704014783296,35316.793303453735,37037.623684042446,42008.43728857067,35346.45965793729,42526.5610287541,36389.32505024636,45166.59153531137,38116.95727737555,34384.13947846926,30544.898953310745,40229.26508226228,37526.67955325469,50884.658550221015,45338.139654028004,33552.266170408315,27997.620294952267,23707.92962323523,22734.302138936466,1000.0
scenario_7261,18393.736070605577,10088.21612447963,15281.183073922119,13771.777601709815,16675.332299468508,2042.248591230492,16993.600980258983,21891.04906327018,28501.27528873561,41386.477514602026,42883.80676164612,44533.22076920931,46883.94051614633,54812.56006041291,41978.19213347826,49733.952372799184,49319.60533812294,49599.07385434585,39493.65557439792,39081.25399684336,52228.699232095394,39355.43279030711,35940.018805686064,23753.868701440457
scenario_6686,6488.278237522711,6412.475950349777,7835.868759449222,10052.177275420472,6745.064288107387,9117.979379597917,14999.2138827857,9397.583670612243,19968.36597024161,18593.413550466637,39763.372055307664,50680.88241204375,54902.063472107766,47545.053404867154,55867.80737691357,53408.77704341376,55249.328270617676,57847.83633841617,44919.48816463524,46841.33402213085,35739.53099816457,23133.947745010824,27482.029977355163,20813.516425923914
scenario_5460,12005.71034284473,7559.184187295461,5387.488296588112,7630.268385827221,10888.980356951488,15667.29055744537,12834.621681261386,17649.030972193763,25317.99789397187,37344.58063894219,36642.47526665231,47642.710228017255,44232.277037446715,46519.394791369734,54048.54029706789,51206.31627877172,37608.60113431384,6552.058644277821,39889.746896774624,24755.020209905077,11556.37011291593,8990.878249708476,14923.14534539287,1896.879626950271
scenario_5416,30684.634554367025,26418.764711643496,22396.316890411403,23191.50612623029,28987.643732186163,26692.462143415592,37471.61751703141,37115.04762487019,31402.189485447918,37237.74911136295,41164.36149652083,42809.222804459685,56450.70577940954,52782.67823633486,48489.538797004694,64822.41728101006,62431.07806421358,61356.40402978275,60821.6543025437,57022.707393630204,43503.604101014906,40150.76335892819,29277.911661919017,34307.5000521488
scenario_1038,5176.664591490509,2084.7647036858907,10223.976388493335,12345.198085963704,10270.185087612314,16271.0269792437,24605.97999245651,27130.904715061388,21030.099606705902,44808.33117551678,39066.15614693139,43534.78847811089,49929.328741555175,49968.24328587012,46526.81003923525,47475.05619605727,38303.879550313446,44610.48253095239,43041.18523093412,39143.7158814566,42278.45225777243,29671.282734135864,24634.48134076565,27679.400412673847
scenario_4435,14967.390886630434,3595.570366264401,6258.665317857536,11240.042605336457,1000.0,11284.1255600062,4415.502752856359,16749.933146503365,21241.8559980261,28686.81496888798,39475.04764131615,33642.104899742364,29480.3642941825,1000.0,1000.0,1000.0,7506.514468169532,37096.958375685645,1000.0,15785.317637573953,11335.784361845195,22567.96105589195,11022.752501771778,8502.351837196038
scenario_6920,19176.41408074832,17662.83656976992,16084.430577870386,20406.318636802807,18319.572060837374,20243.606949961155,2434.408609478787,26223.505078425515,38804.64548621743,35793.33790971549,54371.31286748171,55215.988983366944,59495.45881422559,67001.13578286718,58911.350531281394,59072.108704578925,64814.060756526786,60055.95003351769,62330.508168291206,64924.76823484111,51514.41163757612,53617.65856250316,41316.74967792093,41388.28422745086
scenario_0368,18006.248183118747,17767.125241571677,10919.069950927224,18011.8591604118,27697.164410764788,25904.801131375538,20810.525421342572,37584.501518480116,36000.63711524181,42442.9918286839,53981.01712576921,46536.94248568348,52366.16297355915,55747.515440040115,52771.004668296955,53177.23556590408,56745.37848786959,55156.050303322256,52608.27629230206,50096.00846007378,39642.920079755975,42525.02782529132,25906.824401436676,21163.036223990646
scenario_4732,14727.107279284133,10288.134939079286,24111.302439802806,8913.244589675429,5341.454701538041,12525.105948775992,17235.630812345156,38668.56453649834,28776.156981908985,33718.94481087831,35309.815744298765,30713.580822480668,35608.94157940365,37689.34048763352,32295.481961244623,40945.3251931892,47359.771043860994,43584.12599651749,27877.77191166636,16988.329749291588,24549.3677503415,13175.097143939412,23489.047049431836,6642.440598903551
scenario_1241,16687.89567296052,11848.975694049223,17510.726807035844,14620.557043984398,2037.0445676641757,20775.144481110045,19291.271704630897,18967.75288743277,18441.70805291552,17076.383169495144,33457.55595848939,26591.63235352982,30734.08806006181,28284.597219983298,30136.562924865277,25003.881940054576,31869.046543760218,25428.770531363174,29943.92670580052,13938.498672605892,22146.432673761745,25588.215986830364,24911.911563205696,7816.892977745927
scenario_3976,15245.008032065653,15682.753514920263,7884.165307033189,6534.384241116415,19921.650154828865,9465.580571331018,14008.80581825097,26334.608317679278,40036.146549992176,41030.599642907204,47207.41207906311,44112.41493372816,48017.96867450833,41338.11513479869,53953.77260964529,55943.80487444531,55429.726897543595,48474.34280431439,38985.3217015425,34851.958006879664,29773.448024026704,24772.262705753474,21929.138352450613,7269.793238302103
scenario_3313,22830.848189101453,22652.947326566624,27238.534453793312,30081.212491477603,21958.810381941552,19993.06404226384,16279.615073062683,25270.948271865822,35193.23731703264,48923.25207917446,45710.665054245634,51755.164610575,38075.16141731383,60004.55439979991,62855.232906896206,60674.35867315509,50349.79818747496,61945.57207375905,62776.39897565571,47616.29447095272,50140.838115224906,30433.456920903674,35286.42777449041,27538.651179109722
scenario_6921,5975.541313492009,18308.88404334752,12984.48854789987,23989.311103430337,17876.945877366714,26410.59251491164,34272.76662629472,47219.25230229518,44585.413177395945,50825.7902856569,47899.382148858596,58191.771608541116,58268.10830216887,61603.439108373794,61872.78067707628,59827.45615322604,64894.26270252308,66301.60690769077,60743.23813198814,61042.295827045156,51200.517732695655,43727.855355370746,32531.286018545128,46967.50227088163
scenario_4879,13788.89001724439,11268.858692414833,3820.420397421047,9148.760449636648,18252.182518395453,17993.53134575347,24152.87974179441,15011.31123056285,30805.907220425237,36991.08302900464,35650.34637130525,23312.838498608195,30382.541780341846,32455.660927925197,14615.112599680751,31025.141035916848,49683.401268112764,49721.06850088696,23069.415297405572,35043.94401834102,47197.861557321565,22581.80439288177,31017.570415285933,20162.67188237317
scenario_2412,16481.49234130155,17771.633505585145,15281.422371389435,13815.496588002461,12217.509881502425,14843.183117267316,13440.28273876088,20933.764690098942,40273.69899769257,35541.91719629157,37032.549168585356,29620.58121272933,47906.32999569157,37298.355733486176,44463.54785630818,47037.292409170805,42804.23297231658,42897.97867582295,30588.817224000857,2770.7744135433895,9212.453363267261,19118.698973200415,1948.2904468255801,1000.0
scenario_5074,21037.283249274275,16000.738846851615,14967.616724860964,7756.226892115337,22747.381624417303,27710.759943529465,19048.815609921872,32366.67368414636,44288.652264370794,38975.92725028581,51231.09539968776,54204.908095161954,52112.37571323786,61554.29603899046,54593.272536249446,55832.03808445105,58987.42989368706,57771.05446320593,47727.71161969272,39099.778169211975,53712.704720919515,33001.05489951238,23272.09006429132,4512.83563593874
scenario_2734,16630.410982010646,17353.602645020957,7296.090525227271,6140.273005888219,15357.660122552556,26406.257543410087,21681.366430262955,36739.79361966858,20711.648768035615,37716.3816316197,43363.11516766771,38125.484515396405,39602.89248028095,37705.31685048264,45714.3542013166,40326.32728668576,48935.52425338602,39647.31722230587,50815.57178860836,43590.888473860636,30798.91649682073,23206.18466758914,30368.27962439874,14732.05996003079
scenario_3790,21730.806421223395,9851.103265759353,10730.423266759368,12513.905091770612,19742.436089402632,31565.965058924594,18413.412970345446,34483.92338306646,36976.73957989255,42665.18414506272,57244.0073693646,56998.447630688934,56640.32048235694,61363.184781270495,59986.54752947516,60436.073478955586,66237.29157811416,50299.0762200579,54675.42327976719,64625.87750270566,40079.3618608636,46388.42637273697,41271.966928422145,28500.99692319736
scenario_6187,42823.4520143305,41521.47748373287,40980.72967241317,35078.538775725734,38250.5529958274,34545.333156752975,23344.645726868235,41762.0998475067,44409.66596134487,46119.8188918774,48308.93895654676,45031.5408649353,48947.458308355075,46203.35575988397,53267.59585431042,47199.567891713035,51107.16603606291,43877.063810131534,50149.39686122771,48574.74654006091,50880.31738762779,49749.96056070376,47976.98283661023,40537.12778232057
scenario_2380,16447.709544485864,9901.816548623221,14699.539889791078,10806.541544443084,11503.992749419624,15933.662738782934,24386.24897462872,37114.16193603956,40783.52848154639,45589.15701138358,52252.99916608764,42607.87355596551,52588.26671345737,57599.50954399812,57954.43469875755,49052.48582887999,46224.16619480526,51324.984836251766,52961.12500301831,33258.222750048546,42263.89385649863,23105.942656828207,25307.861312722547,32146.108538714983
scenario_1570,7385.510606903652,5643.5089662646205,8925.097443156708,12112.75050419628,4618.713548387685,20247.766140831573,29880.463663814055,15954.147048751776,28488.29191209865,30317.655039677098,42309.420916677125,42810.78066950848,33372.65734026086,33455.73856057521,31051.93875572277,36182.42827560358,30988.470334983023,27812.35388537155,25655.272745088383,33869.313891224534,32396.950389625104,18427.753125662384,17914.72923183781,5341.773872129183
scenario_2550,9535.30432924673,9122.640190295198,14642.392606029407,14068.127260860834,1000.0,1579.4970526339305,17097.036478377482,29432.3343338111,23124.03258464636,36878.619643842685,34214.8477952578,45354.41591471219,47440.79345886047,35738.56463914364,47691.691651948975,50142.05760053365,31027.92552064228,38651.23892558307,41145.74451384263,36545.309848547484,33867.40562144801,11536.107355467371,21402.80672533076,13571.390110607987
scenario_1849,18980.710619178553,30444.352483667335,14004.162254024435,15960.530601296636,31642.881867988035,27216.343915567708,27818.960265958387,24490.18385968014,21575.63805043398,33902.541994184336,39302.08062781424,21037.404927530086,55246.96699756904,58803.721665116944,48610.69657948792,58267.94519112163,44526.73934324436,35457.179063474476,57119.88963800277,37646.38866882618,31751.545364731,41107.20835454149,33031.67112459947,21296.131351076136
scenario_4672,9654.319813358183,10091.344989955469,1000.0,9454.34690927816,14878.217670440546,9252.69846504321,17863.97086933425,24028.443361061025,40610.061915559694,34704.25166058519,28716.68637341838,23705.47876182132,27233.401300362315,30052.9738140317,26428.952348004743,19064.851448433546,31769.178360583785,31438.57847907265,42605.21605795681,24490.64467074171,26782.77336078135,27949.175526887786,21378.17307572085,28580.770788670718
scenario_1622,18973.69780120085,10187.390004143846,14256.201100533333,12741.645934545173,26005.633838701462,20803.74041337912,19923.998814434883,41170.18384152821,47562.088479869606,54953.714063023275,59293.33042004226,59968.939047302396,57905.92865825782,64480.17184407429,50185.84179506092,59197.44707637555,49365.15304876577,61491.692200040605,50937.30133061344,42721.22640787295,27485.25676309001,36600.939241141765,35503.05510936243,21991.129858450407
scenario_5909,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,28113.604358521363,31943.182353369448,39255.55008833371,30879.91869540836,30713.814405568806,27760.63273456799,26597.14250463058,10650.941491121286,8244.13969645272,12514.408821634293,1000.0,1000.0,1000.0
scenario_0064,14126.608787966652,2612.8136457198925,13588.98143106726,7529.446120362794,18110.134827750157,21485.06129000111,33958.60640023013,31007.774240643193,30766.333155395572,37550.168696599794,26139.936028514163,23790.582237874827,38384.94488037019,40877.96109266595,28616.36672146123,35160.92048885248,22132.55427874088,22710.29598032244,26395.616227900995,21698.13336808662,4332.970073640747,7998.3374304192985,4853.916476229235,1000.0
scenario_3047,8790.914257119977,6883.775119467864,9926.9313241645,30793.87493628408,18911.376846806346,25231.2306365341,32881.594191891614,29028.87426014186,40063.72303556557,39358.32827301005,43592.741612397054,41431.6004014644,50534.10539172577,53189.56728895925,48463.7727294899,48885.10399139699,59705.395136080064,57590.84105313961,59833.48307762284,54190.325614696536,51412.49429306216,33462.54069636903,38875.4175223459,19884.556121951795
scenario_6191,17150.267736278933,18609.18847678876,13491.548267044844,12633.49769278348,1405.8128775840087,14583.933555842064,14293.095785255791,24555.83088042657,37789.08245592775,48027.974829253406,50749.59864100187,62860.729466362645,59986.47707711189,64883.58139280896,66327.65955491328,68734.11475071945,69568.55353993087,70965.92898153256,65898.53378242752,65019.75079863261,56585.69902570502,32720.421806161,29156.668746307758,13667.694682444126
scenario_5013,27006.773929992687,15348.202992069295,17174.07272650674,21540.323540383444,20954.554495387838,41919.432644905246,31946.102094231297,45859.86779454533,47867.38429289397,45229.68210136828,50285.248615721524,55051.86872286214,63376.24092293246,61765.90814687528,62407.97122407451,67563.99629877105,56879.29857624123,54353.474196882664,53546.362730421155,46503.089480137096,27735.854879034276,43059.407332831666,32405.015395481365,35173.54605296979
scenario_1605,21351.599771296613,21771.876761706673,19060.94039581981,14632.88679121952,22005.616629655462,31536.546352782934,20566.123773423875,36550.95065042028,50021.82698125706,38800.1129116538,57046.80750409503,53288.84768402309,57049.372291108884,59871.34744816819,39399.29550493181,48938.718878290645,57628.17208186553,59483.33422905981,57179.788136221374,46802.080787186096,50019.20434111086,49598.06066071855,42369.18909880558,29692.177318148202
scenario_6127,22910.598828960166,26694.721087296388,14003.237337625946,23373.58743995903,14921.372615854758,24327.31637659204,20995.174187698547,41524.38751025323,30823.159456446385,37464.48709098511,42936.891319605806,39646.612061329615,47076.54723838963,39299.88558417088,44129.28679007604,21660.622972747176,36803.01427086409,39939.01572707885,32767.891086509593,21292.954619285298,19590.176106619692,30473.783594487195,21986.658881404594,16293.081414074004
scenario_0179,32949.38791495544,16389.04131878025,31495.864415641903,39277.54093628682,32315.671138091922,36415.30342950678,37417.54517631818,44239.7269135894,38777.4920406688,38755.31160076761,55519.44031345484,58011.77043496964,54140.925835948176,48033.89883800751,51498.5460815751,38681.601638098786,41720.153089025785,47673.201430339206,39182.31822864762,42693.6064128247,42438.6762094262,29783.463828857588,34119.5156577555,22793.917587049375
scenario_1370,15053.638865747474,17704.54966246379,14666.09145953954,10759.501427009247,9553.844646117737,14484.771618380837,15223.640676612566,19025.25595857756,41394.31447137725,50596.59404982337,34374.81982451814,35659.119973622335,53940.88346878083,48979.09175483338,43819.946266142724,48966.99515363913,50603.44486009843,43304.74757366477,49895.91230382315,50189.527116925994,32044.30556160159,32105.582365082333,18209.572882994013,16140.049617901044
scenario_5752,42450.161708881344,44649.078164412036,35337.368712382646,43573.821696013416,37602.00090163684,42985.597089787814,45456.90498650688,43668.33434479768,49979.5869720656,50034.242640662895,47264.20358182387,49079.299179982365,48211.112629217125,61306.26282838927,60132.734868873464,50191.79419453647,55858.55464213637,53101.27944770175,58708.156819721284,54576.887077415035,52406.91687622446,54229.89106955097,33285.29331330201,42944.47777853874
scenario_1151,10917.874018634495,11953.567978459156,2016.8233035939775,9782.234578144056,12868.728312262923,10659.582848425998,16811.763897279427,14625.190496004514,37653.480219483165,22196.741379565283,14463.846508793104,17926.74877020808,20865.89498106746,14607.933383488458,26105.32284799731,19989.254379589474,24183.805526089032,12848.275429040199,4097.289766763033,35899.39061236267,25700.624938435918,29166.55995347321,16604.33696158408,19521.198748987656
scenario_0215,29327.359224891534,25395.999964343664,40359.23644973262,28405.42507133373,35526.363119093214,41936.68679590254,42393.46220136626,43772.27268450466,48418.480279377385,51181.03055675342,54368.278489723656,56860.52277877855,57861.8422270946,52175.24763997545,60448.268603245524,57470.218713233706,63259.623473445885,61520.13204532318,60008.02425057672,64666.27805921324,57515.10141768878,41956.92977131935,38528.92160607965,44207.99704383567
scenario_7170,18816.16874945564,20973.16383671211,11427.023063490335,16069.652187253363,31068.12969607898,20435.16455215617,43406.16354971324,45386.58786049913,52242.269015164784,54743.14794046304,59155.70016766885,57989.21433358862,56812.2081586941,64437.2984405638,63997.70701005127,62219.64661788319,65418.16996657031,63814.80769670065,66988.55454698091,60138.01908566494,53891.298625429175,44245.493703643195,34412.43620710228,31095.854172698047
scenario_3327,8914.803586349248,11728.968062881304,10979.169243607892,3868.993206418636,9913.246892544004,13890.353979545882,17679.696108411823,11451.794975519297,20851.598477359727,28973.120532465306,41482.74293114311,43094.45018465992,53802.5953931345,47351.82363877687,60263.62224161376,52783.68057959242,58750.01310522777,57572.451589985576,36315.08236755046,40553.26643137046,43302.856266100614,42810.07293344112,24755.68590872418,27482.779269680603
scenario_2896,36625.24201585425,32819.85966400667,28016.652523860703,23513.24367386636,26098.22758561533,21153.551467780148,27697.532252854773,35806.713043333664,42372.41627956224,37097.070912461815,44307.430022504894,33352.547953371526,41388.781109562544,44241.974032239836,31518.179344117176,44117.70860131134,47318.9319852936,51775.155181098424,37619.64817373308,29900.67053803761,43152.45949994099,18093.23124620662,29649.41503423481,21917.513047645727
scenario_6246,6055.1435073594475,16017.539554708099,1000.0,11695.70380477266,1000.0,18028.91145761707,15873.863359938936,19332.100341059453,16874.534247056126,31676.159770686398,26738.562942320506,32372.66833137181,48295.038076162775,50671.396675200376,44104.003513374526,30234.273414547344,38175.81714833576,37176.196811727306,28711.3628913964,31014.828982531857,41605.114602517366,17143.53093916089,25311.549067965156,35570.790545253796
scenario_5381,14410.952456441944,4300.54810697426,11945.12133435026,9468.007333368296,17732.77244918062,18245.720645215857,13204.143952997018,30669.511680586023,34922.08057615639,37996.70763859066,52440.26884550559,47767.24728768029,54110.94210481738,49413.88787462984,56923.25982309265,42266.32878558592,48094.12632362699,61055.907854929486,46620.05535086824,37140.291311328096,31755.627237799054,28431.615859791033,22339.858673926952,14462.552391362784
scenario_6755,1000.0,3698.354251036668,1000.0,1000.0,1377.6823882040771,1856.50750178218,7435.487236668009,5173.305253873397,25325.717346914127,1000.0,7744.647362347016,31945.431943872798,28180.860606033213,26203.076666546585,36811.49894128126,42499.82079321477,42388.251180096675,26621.513039898768,27035.774173387716,36190.6946894259,39850.19070271496,22143.751401376263,21032.289794950775,17467.24204331651
scenario_1291,4107.858328554197,1266.9507824417524,5997.57042379459,1000.0,1000.0,3620.311914593512,1000.0,20761.87602374115,19398.883452411665,43932.980479895,43880.27542809695,49831.68060161874,59733.31434432701,50713.7428944232,58639.77787591018,55875.80542909933,63977.34559903176,67060.17908866587,61914.3295144285,45641.89496146687,37276.76817334112,15045.255543412866,9188.81468602951,10475.680078208905
scenario_0833,1000.0,1000.0,6287.059374960743,1000.0,1000.0,7664.177058576028,5196.750530637944,21880.01482147418,23542.786216572742,2410.4395068860704,39291.243988093185,48157.86891869002,42434.889983757515,50981.34166888766,45508.98375793471,47908.295962915865,56907.54693630843,44852.93802202453,48168.11031850935,18246.987734646347,30543.35098163707,9236.214524605028,5352.467456117542,3041.6158461095984
scenario_5382,9320.666339164494,9123.712762533316,10754.583588220004,9464.848585580505,31536.717876761875,20019.947362775754,12608.700794386874,23242.438620570945,32966.17776594276,23843.312442600123,37766.862876458144,50498.854067754466,40011.70506185614,39234.33240678932,37784.93219622208,35537.324545201285,31235.140178846945,36802.9835022628,39367.90636987401,32805.66987629193,19042.97711761488,1000.0,2671.7578678352947,1667.0169523628283
