unit,bus,fuel_type,p_min_mw,p_max_mw,variable_cost,startup_cost,shutdown_cost,no_load_cost,ramp_up_mw,ramp_down_mw,min_up_hours,min_down_hours,initial_status
T109,4060,ng,0.0,150.0,27.85,2250.0,0.0,500.0,150.0,150.0,2,2,0
T113,4069,dfo,5.0,26.6,90.3,266.0,0.0,100.0,53.2,53.2,1,1,0
T114,4069,dfo,5.0,26.6,90.63,266.0,0.0,100.0,53.2,53.2,1,1,0
T116,4075,ng,100.0,181.0,33.3,2715.0,0.0,500.0,181.0,181.0,2,2,0
T117,4076,ng,70.0,177.0,32.12,2655.0,0.0,500.0,177.0,177.0,2,2,0
T118,4077,ng,70.0,177.0,30.89,2655.0,0.0,500.0,177.0,177.0,2,2,0
T119,4082,ng,100.0,319.0,41.01,4785.0,0.0,500.0,319.0,319.0,2,2,0
T120,4083,ng,60.0,292.0,36.49,4380.0,0.0,500.0,292.0,292.0,2,2,0
T121,4084,ng,60.0,157.0,29.86,2355.0,0.0,500.0,157.0,157.0,2,2,0
T122,4085,ng,60.0,157.0,28.83,2355.0,0.0,500.0,157.0,157.0,2,2,0
T123,4090,wood,4.0,10.0,35.0,250.0,0.0,200.0,5.0,5.0,4,4,0
T127,4103,ng,7.5,18.3,22.93,274.0,0.0,500.0,18.3,18.3,2,2,0
T128,4103,ng,7.5,18.3,22.93,274.0,0.0,500.0,18.3,18.3,2,2,0
T129,4103,ng,7.5,18.3,22.93,274.0,0.0,500.0,18.3,18.3,2,2,0
T130,4103,ng,7.5,18.3,22.84,274.0,0.0,500.0,18.3,18.3,2,2,0
T131,4103,ng,7.5,18.3,23.08,274.0,0.0,500.0,18.3,18.3,2,2,0
T132,4103,ng,7.5,18.3,22.93,274.0,0.0,500.0,18.3,18.3,2,2,0
T133,4103,ng,7.5,18.3,22.93,274.0,0.0,500.0,18.3,18.3,2,2,0
T134,4103,ng,7.5,18.3,23.08,274.0,0.0,500.0,18.3,18.3,2,2,0
T135,4103,ng,7.5,18.3,22.93,274.0,0.0,500.0,18.3,18.3,2,2,0
T136,4103,ng,7.5,18.3,22.93,274.0,0.0,500.0,18.3,18.3,2,2,0
T137,4103,ng,7.5,18.3,22.93,274.0,0.0,500.0,18.3,18.3,2,2,0
T138,4103,ng,7.5,18.3,22.93,274.0,0.0,500.0,18.3,18.3,2,2,0
T141,4115,ng,35.0,90.1,26.13,1352.0,0.0,500.0,90.1,90.1,2,2,0
T142,4116,ng,35.0,87.3,26.62,1310.0,0.0,500.0,87.3,87.3,2,2,0
T146,4160,ng,100.0,319.0,38.94,4785.0,0.0,500.0,319.0,319.0,2,2,0
T147,4161,ng,60.0,157.0,29.86,2355.0,0.0,500.0,157.0,157.0,2,2,0
T148,4162,ng,60.0,157.0,29.86,2355.0,0.0,500.0,157.0,157.0,2,2,0
T151,5012,ng,3.8,18.8,22.79,282.0,0.0,500.0,18.8,18.8,2,2,0
T152,5012,ng,3.8,18.8,23.03,282.0,0.0,500.0,18.8,18.8,2,2,0
T153,5012,ng,3.8,18.8,22.89,282.0,0.0,500.0,18.8,18.8,2,2,0
T154,5012,ng,3.8,18.8,22.89,282.0,0.0,500.0,18.8,18.8,2,2,0
T155,5012,ng,3.8,18.8,23.03,282.0,0.0,500.0,18.8,18.8,2,2,0
T156,5012,ng,3.8,18.8,23.03,282.0,0.0,500.0,18.8,18.8,2,2,0
T157,5012,ng,3.8,18.8,23.03,282.0,0.0,500.0,18.8,18.8,2,2,0
T158,5012,ng,3.8,18.8,22.89,282.0,0.0,500.0,18.8,18.8,2,2,0
T159,5012,ng,3.8,18.8,22.89,282.0,0.0,500.0,18.8,18.8,2,2,0
T160,5012,ng,3.8,18.8,22.89,282.0,0.0,500.0,18.8,18.8,2,2,0
T161,5012,ng,3.8,18.8,22.79,282.0,0.0,500.0,18.8,18.8,2,2,0
T162,5012,ng,3.8,18.8,23.03,282.0,0.0,500.0,18.8,18.8,2,2,0
T165,5049,dfo,10.0,23.0,90.41,230.0,0.0,100.0,46.0,46.0,1,1,0
T166,5049,ng,10.0,18.0,22.98,270.0,0.0,500.0,18.0,18.0,2,2,0
T167,5051,dfo,13.0,41.0,92.6,410.0,0.0,100.0,82.0,82.0,1,1,0
T168,5057,ng,26.0,390.0,39.34,5850.0,0.0,500.0,390.0,390.0,2,2,0
T169,5058,ng,46.0,239.0,33.84,3585.0,0.0,500.0,239.0,239.0,2,2,0
T172,5089,ng,65.0,208.0,31.87,3120.0,0.0,500.0,208.0,208.0,2,2,0
T175,5166,ng,10.0,61.0,24.6,915.0,0.0,500.0,61.0,61.0,2,2,0
T176,5167,ng,10.0,61.0,24.26,915.0,0.0,500.0,61.0,61.0,2,2,0
T180,5206,ng,60.0,290.5,36.39,4358.0,0.0,500.0,290.5,290.5,2,2,0
T181,5207,ng,60.0,290.5,36.39,4358.0,0.0,500.0,290.5,290.5,2,2,0
T182,5208,ng,164.0,165.0,33.25,2475.0,0.0,500.0,165.0,165.0,2,2,0
T187,5262,nuclear,1100.0,1205.0,17.33,72300.0,0.0,0.0,361.5,361.5,8,8,1
T188,5263,nuclear,1100.0,1195.0,17.3,71700.0,0.0,0.0,358.5,358.5,8,8,1
T189,5281,ng,70.0,326.0,36.24,4890.0,0.0,500.0,326.0,326.0,2,2,0
T190,5282,ng,70.0,326.0,36.24,4890.0,0.0,500.0,326.0,326.0,2,2,0
T191,5283,ng,140.0,232.0,38.6,3480.0,0.0,500.0,232.0,232.0,2,2,0
T193,5290,hydro,1.0,21.0,12.3,42.0,0.0,0.0,63.0,63.0,1,1,0
T194,5290,hydro,1.0,21.0,12.3,42.0,0.0,0.0,63.0,63.0,1,1,0
T195,5319,ng,60.0,446.3,42.77,6694.0,0.0,500.0,446.3,446.3,2,2,0
T196,5320,ng,113.0,329.3,41.99,4940.0,0.0,500.0,329.3,329.3,2,2,0
T197,5321,ng,113.0,327.8,39.78,4917.0,0.0,500.0,327.8,327.8,2,2,0
T198,5324,ng,200.0,568.0,50.4,8520.0,0.0,500.0,568.0,568.0,2,2,0
T199,5325,ng,15.0,122.0,25.93,1830.0,0.0,500.0,122.0,122.0,2,2,0
T200,5326,ng,15.0,118.0,26.47,1770.0,0.0,500.0,118.0,118.0,2,2,0
T201,5360,coal,360.0,932.6,27.58,37304.0,0.0,800.0,466.3,466.3,6,6,1
T202,5382,ng,190.0,245.1,36.88,3676.0,0.0,500.0,245.1,245.1,2,2,0
T203,5383,ng,80.0,114.4,27.99,1716.0,0.0,500.0,114.4,114.4,2,2,0
T205,5403,ng,84.0,280.0,35.02,4200.0,0.0,500.0,280.0,280.0,2,2,0
T206,5404,ng,84.0,236.0,35.02,3540.0,0.0,500.0,236.0,236.0,2,2,0
T207,5405,ng,84.0,234.5,33.39,3518.0,0.0,500.0,234.5,234.5,2,2,0
T208,5415,ng,40.0,200.0,30.84,3000.0,0.0,500.0,200.0,200.0,2,2,0
T209,5416,ng,35.0,104.0,27.21,1560.0,0.0,500.0,104.0,104.0,2,2,0
T210,5417,ng,35.0,104.0,26.52,1560.0,0.0,500.0,104.0,104.0,2,2,0
T211,5418,ng,38.0,100.0,25.83,1500.0,0.0,500.0,100.0,100.0,2,2,0
T212,5419,ng,20.0,66.0,25.0,990.0,0.0,500.0,66.0,66.0,2,2,0
T214,6006,ng,57.0,335.0,36.19,5025.0,0.0,500.0,335.0,335.0,2,2,0
T215,6007,ng,19.0,136.0,27.89,2040.0,0.0,500.0,136.0,136.0,2,2,0
T216,6008,ng,19.0,136.0,27.89,2040.0,0.0,500.0,136.0,136.0,2,2,0
T218,6069,ng,138.8,197.0,35.31,2955.0,0.0,500.0,197.0,197.0,2,2,0
T219,6070,ng,138.5,196.0,33.59,2940.0,0.0,500.0,196.0,196.0,2,2,0
T220,6071,ng,0.0,160.0,29.02,2400.0,0.0,500.0,160.0,160.0,2,2,0
T221,6072,ng,0.0,160.0,27.45,2400.0,0.0,500.0,160.0,160.0,2,2,0
T222,6073,ng,100.0,153.0,30.89,2295.0,0.0,500.0,153.0,153.0,2,2,0
T223,6074,ng,100.0,153.0,30.89,2295.0,0.0,500.0,153.0,153.0,2,2,0
T224,6078,coal,156.0,590.0,19.75,23600.0,0.0,800.0,295.0,295.0,6,6,1
T225,6079,coal,156.0,590.0,18.57,23600.0,0.0,800.0,295.0,295.0,6,6,1
T226,6080,coal,180.0,435.0,17.87,17400.0,0.0,800.0,217.5,217.5,6,6,1
T227,6082,hydro,9.0,19.8,12.3,40.0,0.0,0.0,59.4,59.4,1,1,0
T228,6083,hydro,9.0,19.8,12.3,40.0,0.0,0.0,59.4,59.4,1,1,0
T229,6101,ng,13.0,44.0,23.87,660.0,0.0,500.0,44.0,44.0,2,2,0
T230,6104,ng,13.0,44.0,23.87,660.0,0.0,500.0,44.0,44.0,2,2,0
T231,6105,ng,13.0,44.0,23.57,660.0,0.0,500.0,44.0,44.0,2,2,0
T232,6106,ng,13.0,44.0,23.87,660.0,0.0,500.0,44.0,44.0,2,2,0
T234,6137,hydro,15.0,36.0,12.3,72.0,0.0,0.0,108.0,108.0,1,1,0
T235,6137,hydro,20.0,36.0,12.3,72.0,0.0,0.0,108.0,108.0,1,1,0
T236,6137,hydro,15.0,36.0,12.3,72.0,0.0,0.0,108.0,108.0,1,1,0
T238,6164,ng,50.0,303.0,36.59,4545.0,0.0,500.0,303.0,303.0,2,2,0
T239,6165,ng,100.0,165.5,31.38,2482.0,0.0,500.0,165.5,165.5,2,2,0
T240,6166,ng,100.0,158.0,32.36,2370.0,0.0,500.0,158.0,158.0,2,2,0
T241,6167,ng,100.0,158.0,29.81,2370.0,0.0,500.0,158.0,158.0,2,2,0
T243,6175,ng,23.0,46.5,24.11,698.0,0.0,500.0,46.5,46.5,2,2,0
T244,6175,ng,21.0,33.0,23.72,495.0,0.0,500.0,33.0,33.0,2,2,0
T245,6175,ng,12.5,27.6,23.23,414.0,0.0,500.0,27.6,27.6,2,2,0
T246,6175,ng,11.0,26.1,23.18,392.0,0.0,500.0,26.1,26.1,2,2,0
T247,6182,ng,20.0,46.0,23.72,690.0,0.0,500.0,46.0,46.0,2,2,0
T248,6182,ng,20.0,46.0,23.72,690.0,0.0,500.0,46.0,46.0,2,2,0
T249,6182,ng,20.0,46.0,23.72,690.0,0.0,500.0,46.0,46.0,2,2,0
T250,6182,ng,20.0,46.0,24.06,690.0,0.0,500.0,46.0,46.0,2,2,0
T251,6213,hydro,23.0,27.0,12.3,54.0,0.0,0.0,81.0,81.0,1,1,0
T252,6214,hydro,23.0,27.0,12.3,54.0,0.0,0.0,81.0,81.0,1,1,0
T253,6233,ng,49.0,52.0,24.75,780.0,0.0,500.0,52.0,52.0,2,2,0
T254,6233,ng,49.0,52.0,24.26,780.0,0.0,500.0,52.0,52.0,2,2,0
T255,6233,ng,49.0,52.0,24.75,780.0,0.0,500.0,52.0,52.0,2,2,0
T256,6233,ng,49.0,52.0,24.75,780.0,0.0,500.0,52.0,52.0,2,2,0
T257,6242,ng,70.0,420.0,44.44,6300.0,0.0,500.0,420.0,420.0,2,2,0
T258,6243,ng,70.0,410.0,44.0,6150.0,0.0,500.0,410.0,410.0,2,2,0
T259,6254,ng,12.0,47.3,23.62,710.0,0.0,500.0,47.3,47.3,2,2,0
T260,6254,ng,12.0,47.3,23.62,710.0,0.0,500.0,47.3,47.3,2,2,0
T261,6254,ng,15.0,47.3,23.67,710.0,0.0,500.0,47.3,47.3,2,2,0
T262,6254,ng,12.0,47.3,23.92,710.0,0.0,500.0,47.3,47.3,2,2,0
T263,6257,ng,92.0,161.0,30.94,2415.0,0.0,500.0,161.0,161.0,2,2,0
T264,6258,ng,55.0,151.0,30.5,2265.0,0.0,500.0,151.0,151.0,2,2,0
T265,6259,ng,12.0,47.3,23.92,710.0,0.0,500.0,47.3,47.3,2,2,0
T266,6260,ng,12.0,47.3,23.62,710.0,0.0,500.0,47.3,47.3,2,2,0
T267,6277,ng,0.0,18.4,22.84,276.0,0.0,500.0,18.4,18.4,2,2,0
T268,6277,ng,0.0,18.4,22.93,276.0,0.0,500.0,18.4,18.4,2,2,0
T269,6277,ng,0.0,18.4,22.84,276.0,0.0,500.0,18.4,18.4,2,2,0
T270,6277,ng,0.0,18.4,22.84,276.0,0.0,500.0,18.4,18.4,2,2,0
T271,6277,ng,0.0,18.4,22.93,276.0,0.0,500.0,18.4,18.4,2,2,0
T272,6277,ng,0.0,18.4,22.84,276.0,0.0,500.0,18.4,18.4,2,2,0
T273,6277,ng,0.0,18.4,22.84,276.0,0.0,500.0,18.4,18.4,2,2,0
T274,6277,ng,0.0,18.4,22.93,276.0,0.0,500.0,18.4,18.4,2,2,0
T275,6277,ng,0.0,18.4,22.93,276.0,0.0,500.0,18.4,18.4,2,2,0
T276,6277,ng,0.0,18.4,22.84,276.0,0.0,500.0,18.4,18.4,2,2,0
T277,6295,ng,125.0,233.0,38.06,3495.0,0.0,500.0,233.0,233.0,2,2,0
T278,6296,ng,94.0,171.0,32.71,2565.0,0.0,500.0,171.0,171.0,2,2,0
T279,6297,ng,94.0,171.0,31.38,2565.0,0.0,500.0,171.0,171.0,2,2,0
T280,6301,ng,120.0,231.0,37.77,3465.0,0.0,500.0,231.0,231.0,2,2,0
T281,6302,ng,150.0,229.0,36.98,3435.0,0.0,500.0,229.0,229.0,2,2,0
T282,6303,ng,150.0,228.0,36.93,3420.0,0.0,500.0,228.0,228.0,2,2,0
T283,6304,ng,120.0,228.0,34.18,3420.0,0.0,500.0,228.0,228.0,2,2,0
T285,7005,ng,80.0,171.0,30.99,2565.0,0.0,500.0,171.0,171.0,2,2,0
T286,7006,ng,80.0,171.0,32.22,2565.0,0.0,500.0,171.0,171.0,2,2,0
T287,7007,ng,65.0,167.0,30.4,2505.0,0.0,500.0,167.0,167.0,2,2,0
T288,7008,ng,80.0,166.0,32.02,2490.0,0.0,500.0,166.0,166.0,2,2,0
T289,7009,ng,60.0,71.0,26.13,1065.0,0.0,500.0,71.0,71.0,2,2,0
T290,7021,ng,8.0,49.0,23.87,735.0,0.0,500.0,49.0,49.0,2,2,0
T291,7022,ng,8.0,49.0,23.87,735.0,0.0,500.0,49.0,49.0,2,2,0
T292,7023,ng,8.0,48.0,23.87,720.0,0.0,500.0,48.0,48.0,2,2,0
T293,7024,ng,7.0,37.0,23.57,555.0,0.0,500.0,37.0,37.0,2,2,0
T294,7029,ng,2.0,15.0,22.79,225.0,0.0,500.0,15.0,15.0,2,2,0
T295,7029,ng,2.0,15.0,22.79,225.0,0.0,500.0,15.0,15.0,2,2,0
T296,7029,ng,0.0,12.0,22.79,180.0,0.0,500.0,12.0,12.0,2,2,0
T297,7031,ng,20.0,30.0,23.62,450.0,0.0,500.0,30.0,30.0,2,2,0
T298,7032,ng,17.0,30.0,23.33,450.0,0.0,500.0,30.0,30.0,2,2,0
T299,7033,ng,17.0,30.0,23.33,450.0,0.0,500.0,30.0,30.0,2,2,0
T300,7034,ng,2.0,15.0,22.79,225.0,0.0,500.0,15.0,15.0,2,2,0
T301,7045,ng,115.0,176.0,32.17,2640.0,0.0,500.0,176.0,176.0,2,2,0
T302,7046,ng,55.0,112.0,27.31,1680.0,0.0,500.0,112.0,112.0,2,2,0
T303,7054,ng,20.0,43.0,23.97,645.0,0.0,500.0,43.0,43.0,2,2,0
T304,7054,ng,20.0,43.0,23.97,645.0,0.0,500.0,43.0,43.0,2,2,0
T305,7058,ng,10.0,58.0,24.16,870.0,0.0,500.0,58.0,58.0,2,2,0
T306,7058,ng,14.0,47.3,23.97,710.0,0.0,500.0,47.3,47.3,2,2,0
T307,7058,ng,10.0,38.0,23.62,570.0,0.0,500.0,38.0,38.0,2,2,0
T308,7058,ng,20.0,32.0,23.67,480.0,0.0,500.0,32.0,32.0,2,2,0
T309,7058,ng,14.0,28.5,23.28,428.0,0.0,500.0,28.5,28.5,2,2,0
T310,7061,ng,60.0,97.0,26.18,1455.0,0.0,500.0,97.0,97.0,2,2,0
T311,7062,ng,60.0,97.0,26.96,1455.0,0.0,500.0,97.0,97.0,2,2,0
T312,7063,ng,60.0,72.0,26.18,1080.0,0.0,500.0,72.0,72.0,2,2,0
T313,7064,ng,60.0,72.0,24.85,1080.0,0.0,500.0,72.0,72.0,2,2,0
T314,7065,ng,60.0,72.0,25.54,1080.0,0.0,500.0,72.0,72.0,2,2,0
T315,7066,ng,63.0,72.0,25.59,1080.0,0.0,500.0,72.0,72.0,2,2,0
T318,7079,ng,65.0,749.0,50.4,11235.0,0.0,500.0,749.0,749.0,2,2,0
T319,7080,ng,65.0,745.0,50.4,11175.0,0.0,500.0,745.0,745.0,2,2,0
T321,7098,nuclear,1100.0,1300.0,17.59,78000.0,0.0,0.0,390.0,390.0,8,8,1
T322,7099,nuclear,1100.0,1280.0,17.54,76800.0,0.0,0.0,384.0,384.0,8,8,1
T323,7107,ng,40.0,282.0,36.93,4230.0,0.0,500.0,282.0,282.0,2,2,0
T324,7108,ng,102.0,182.0,32.02,2730.0,0.0,500.0,182.0,182.0,2,2,0
T325,7109,ng,102.0,182.0,33.39,2730.0,0.0,500.0,182.0,182.0,2,2,0
T326,7110,ng,102.0,182.0,33.39,2730.0,0.0,500.0,182.0,182.0,2,2,0
T327,7111,ng,102.0,182.0,33.39,2730.0,0.0,500.0,182.0,182.0,2,2,0
T328,7112,ng,102.0,182.0,32.02,2730.0,0.0,500.0,182.0,182.0,2,2,0
T330,7133,ng,80.0,140.0,28.78,2100.0,0.0,500.0,140.0,140.0,2,2,0
T331,7134,ng,50.0,78.0,26.13,1170.0,0.0,500.0,78.0,78.0,2,2,0
T332,7135,ng,25.0,29.0,23.72,435.0,0.0,500.0,29.0,29.0,2,2,0
T333,7136,ng,25.0,29.0,23.72,435.0,0.0,500.0,29.0,29.0,2,2,0
T334,7137,ng,25.0,29.0,23.72,435.0,0.0,500.0,29.0,29.0,2,2,0
T335,7144,ng,8.0,35.0,23.33,525.0,0.0,500.0,35.0,35.0,2,2,0
T336,7159,ng,53.0,54.0,24.95,810.0,0.0,500.0,54.0,54.0,2,2,0
T337,7159,ng,53.0,54.0,24.95,810.0,0.0,500.0,54.0,54.0,2,2,0
T338,7159,ng,53.0,54.0,25.44,810.0,0.0,500.0,54.0,54.0,2,2,0
T339,7159,ng,53.0,54.0,25.44,810.0,0.0,500.0,54.0,54.0,2,2,0
T340,7159,ng,53.0,54.0,24.41,810.0,0.0,500.0,54.0,54.0,2,2,0
T341,7159,ng,53.0,54.0,24.41,810.0,0.0,500.0,54.0,54.0,2,2,0
T342,7159,ng,53.0,54.0,24.95,810.0,0.0,500.0,54.0,54.0,2,2,0
T343,7159,ng,5.0,14.0,22.84,210.0,0.0,500.0,14.0,14.0,2,2,0
T344,7162,ng,27.0,110.0,26.52,1650.0,0.0,500.0,110.0,110.0,2,2,0
T345,7163,ng,27.0,110.0,26.52,1650.0,0.0,500.0,110.0,110.0,2,2,0
T346,7164,ng,40.0,56.0,24.7,840.0,0.0,500.0,56.0,56.0,2,2,0
T347,7165,ng,38.0,56.0,24.65,840.0,0.0,500.0,56.0,56.0,2,2,0
T348,7166,ng,42.0,56.0,24.26,840.0,0.0,500.0,56.0,56.0,2,2,0
T349,7167,ng,48.0,56.0,25.39,840.0,0.0,500.0,56.0,56.0,2,2,0
T350,7168,ng,42.0,56.0,24.75,840.0,0.0,500.0,56.0,56.0,2,2,0
T351,7169,ng,38.0,56.0,24.65,840.0,0.0,500.0,56.0,56.0,2,2,0
T352,7170,ng,53.0,54.0,24.95,810.0,0.0,500.0,54.0,54.0,2,2,0
T353,7184,ng,22.5,44.5,24.41,668.0,0.0,500.0,44.5,44.5,2,2,0
T354,7184,ng,22.5,44.5,23.72,668.0,0.0,500.0,44.5,44.5,2,2,0
T355,7184,ng,22.5,44.5,24.06,668.0,0.0,500.0,44.5,44.5,2,2,0
T356,7184,ng,22.5,44.5,23.72,668.0,0.0,500.0,44.5,44.5,2,2,0
T357,7184,ng,22.5,44.5,24.06,668.0,0.0,500.0,44.5,44.5,2,2,0
T358,7184,ng,22.5,44.5,24.06,668.0,0.0,500.0,44.5,44.5,2,2,0
T359,7184,ng,22.5,44.5,23.72,668.0,0.0,500.0,44.5,44.5,2,2,0
T360,7184,ng,22.5,44.5,24.06,668.0,0.0,500.0,44.5,44.5,2,2,0
T361,7224,ng,0.0,50.0,23.77,750.0,0.0,500.0,50.0,50.0,2,2,0
T362,7224,ng,22.0,47.0,24.11,705.0,0.0,500.0,47.0,47.0,2,2,0
T364,7266,ng,65.0,75.0,26.37,1125.0,0.0,500.0,75.0,75.0,2,2,0
T365,7267,ng,65.0,75.0,25.68,1125.0,0.0,500.0,75.0,75.0,2,2,0
T366,7268,ng,65.0,75.0,26.37,1125.0,0.0,500.0,75.0,75.0,2,2,0
T367,7269,ng,65.0,75.0,26.37,1125.0,0.0,500.0,75.0,75.0,2,2,0
T368,7280,ng,25.0,258.0,32.51,3870.0,0.0,500.0,258.0,258.0,2,2,0
T369,7281,ng,120.0,198.0,34.67,2970.0,0.0,500.0,198.0,198.0,2,2,0
T370,7284,ng,70.0,178.0,32.17,2670.0,0.0,500.0,178.0,178.0,2,2,0
T371,7285,ng,130.0,163.0,33.59,2445.0,0.0,500.0,163.0,163.0,2,2,0
T372,7286,ng,130.0,163.0,33.59,2445.0,0.0,500.0,163.0,163.0,2,2,0
T373,7307,ng,70.0,478.4,47.15,7176.0,0.0,500.0,478.4,478.4,2,2,0
T374,7308,ng,113.0,335.0,40.07,5025.0,0.0,500.0,335.0,335.0,2,2,0
T375,7309,ng,113.0,329.3,41.99,4940.0,0.0,500.0,329.3,329.3,2,2,0
T377,7323,ng,50.0,160.0,30.74,2400.0,0.0,500.0,160.0,160.0,2,2,0
T378,7324,ng,70.0,73.0,25.05,1095.0,0.0,500.0,73.0,73.0,2,2,0
T379,7325,ng,70.0,73.0,25.73,1095.0,0.0,500.0,73.0,73.0,2,2,0
T380,7326,ng,70.0,73.0,26.42,1095.0,0.0,500.0,73.0,73.0,2,2,0
T381,7329,ng,60.0,69.0,26.08,1035.0,0.0,500.0,69.0,69.0,2,2,0
T382,7334,ng,80.0,241.0,35.06,3615.0,0.0,500.0,241.0,241.0,2,2,0
T383,7335,ng,120.0,173.0,32.22,2595.0,0.0,500.0,173.0,173.0,2,2,0
T384,7349,coal,175.0,664.0,21.42,26560.0,0.0,800.0,332.0,332.0,6,6,1
T385,7350,coal,175.0,663.0,20.74,26520.0,0.0,800.0,331.5,331.5,6,6,1
T386,7351,coal,175.0,610.0,19.83,24400.0,0.0,800.0,305.0,305.0,6,6,1
T387,7352,coal,175.0,577.0,21.03,23080.0,0.0,800.0,288.5,288.5,6,6,1
T388,7353,ng,60.0,552.0,50.14,8280.0,0.0,500.0,552.0,552.0,2,2,0
T389,7354,ng,60.0,240.0,32.85,3600.0,0.0,500.0,240.0,240.0,2,2,0
T390,7355,ng,30.0,169.0,30.4,2535.0,0.0,500.0,169.0,169.0,2,2,0
T391,7356,ng,30.0,169.0,29.42,2535.0,0.0,500.0,169.0,169.0,2,2,0
T392,7357,ng,3.0,13.0,22.84,195.0,0.0,500.0,13.0,13.0,2,2,0
T393,7369,ng,120.0,163.0,31.87,2445.0,0.0,500.0,163.0,163.0,2,2,0
T394,7370,ng,120.0,163.0,31.87,2445.0,0.0,500.0,163.0,163.0,2,2,0
T395,7371,ng,120.0,160.0,33.15,2400.0,0.0,500.0,160.0,160.0,2,2,0
T396,7372,ng,120.0,159.0,30.35,2385.0,0.0,500.0,159.0,159.0,2,2,0
